Name,Genre,Description,Year,Runtime
White Heat,"Action, Crime, Drama            ",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,1949,114 min
All About Eve,Drama            ,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,1950,138 min
D.O.A.,"Crime, Drama, Film-Noir            ","Frank Bigelow, told he's been poisoned and has only a few days to live, tries to find out who killed him and why.",1949,83 min
Gun Crazy,"Crime, Drama, Film-Noir            ",Two disturbed young people release their fascination with guns through a crime spree.,1950,87 min
In a Lonely Place,"Drama, Film-Noir, Mystery            ","A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",1950,94 min
Los olvidados,"Crime, Drama            ","A group of juvenile delinquents lives a violent and crime-filled life in the festering slums of Mexico City, and the morals of young Pedro are gradually corrupted and destroyed by the others.",1950,85 min
Rashômon,"Crime, Drama, Mystery            ","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",1950,88 min
Sunset Blvd.,"Drama, Film-Noir            ",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,1950,110 min
The Asphalt Jungle,"Crime, Drama, Film-Noir            ","A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.",1950,112 min
Ace in the Hole,"Drama, Film-Noir            ","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",1951,111 min
